threshold,precision,recall,f1,auc,accuracy
0.1,0.64,0.99,0.78,0.99,0.92
0.15,0.68,0.99,0.81,0.99,0.93
0.2,0.72,0.99,0.83,0.99,0.94
0.25,0.72,0.97,0.83,0.99,0.94
0.3,0.75,0.97,0.84,0.99,0.95
0.35,0.78,0.97,0.86,0.99,0.96
0.4,0.8,0.94,0.86,0.99,0.96
0.45,0.82,0.92,0.87,0.99,0.96
0.5,0.82,0.91,0.87,0.99,0.96
0.55,0.84,0.88,0.86,0.99,0.96
0.6,0.84,0.87,0.85,0.99,0.96
0.65,0.88,0.86,0.87,0.99,0.96
0.7,0.9,0.79,0.84,0.99,0.96
0.75,0.93,0.74,0.82,0.99,0.95
0.8,0.96,0.66,0.78,0.99,0.95
0.85,0.96,0.59,0.73,0.99,0.94
0.9,0.96,0.51,0.67,0.99,0.93
0.95,1.0,0.22,0.36,0.99,0.89
