threshold,precision,recall,f1,auc,accuracy
0.1,0.78,1.0,0.87,0.99,0.96
0.15,0.78,0.99,0.88,0.99,0.96
0.2,0.79,0.96,0.87,0.99,0.96
0.25,0.81,0.94,0.87,0.99,0.96
0.3,0.81,0.94,0.87,0.99,0.96
0.35,0.82,0.94,0.88,0.99,0.96
0.4,0.83,0.92,0.88,0.99,0.96
0.45,0.85,0.92,0.88,0.99,0.96
0.5,0.87,0.9,0.89,0.99,0.97
0.55,0.89,0.89,0.89,0.99,0.97
0.6,0.89,0.84,0.87,0.99,0.96
0.65,0.89,0.83,0.86,0.99,0.96
0.7,0.91,0.81,0.86,0.99,0.96
0.75,0.93,0.78,0.85,0.99,0.96
0.8,0.93,0.7,0.8,0.99,0.95
0.85,0.95,0.69,0.8,0.99,0.95
0.9,0.99,0.63,0.77,0.99,0.95
0.95,1.0,0.61,0.76,0.99,0.94
