threshold,precision,recall,f1,auc,accuracy
0.1,0.65,0.97,0.78,0.98,0.92
0.15,0.68,0.94,0.79,0.98,0.93
0.2,0.69,0.92,0.79,0.98,0.93
0.25,0.72,0.89,0.8,0.98,0.94
0.3,0.77,0.86,0.81,0.98,0.94
0.35,0.78,0.86,0.82,0.98,0.94
0.4,0.78,0.84,0.81,0.98,0.94
0.45,0.8,0.84,0.82,0.98,0.95
0.5,0.82,0.83,0.82,0.98,0.95
0.55,0.82,0.79,0.8,0.98,0.94
0.6,0.86,0.75,0.8,0.98,0.95
0.65,0.88,0.73,0.8,0.98,0.95
0.7,0.91,0.7,0.79,0.98,0.95
0.75,0.92,0.68,0.78,0.98,0.94
0.8,0.94,0.65,0.77,0.98,0.94
0.85,0.95,0.61,0.74,0.98,0.94
0.9,0.97,0.53,0.69,0.98,0.93
0.95,1.0,0.44,0.61,0.98,0.92
